,312X51,312X52,312X53,312X54,312X55,312X57,312X59,312X60,312X61,312X64,312X65,312X66,312X67,312X69,312X70,312X75,312X81,312X91,312X95,312X96,312X111,312X115,312X130,312X131,312X132,312X133,312X141,312X217,312X246,312X253,312X254,312X255,312X256,312X260,312X261,312X263,312X266,312X267,312X277,312X279,312X280,312X281,312X283,312X284,312X285,312X286,312X287,312X289,312X290,312X291,312X292,312X293,312X303,312X310,312X311,312X315,312X332,312X333,312X337,312X338,312X340,312X349,312X351,312X352,312X355,312X356,312X357,312X358,312X359,312X361,312X362,312X363,312X373,312X379,312X380,312X381,312X382,312X383,312X385,312X386,312X387,312X388,312X389,312X421,312X423,312X424,312X425,312X426,312X429,312X438,312X439,312X441,312X456,312X462,312X465,312X468,312X471,312X475,312X476,312X477,312X480,312X482,312X483,312X489,312X516,312X517,312X519,312X524,312X525,312X528,312X529,312X530,312X531,312X552,312X553,312X555,312X566,312X570,312X574,312X576,312X580,312X582,312X586,312X588,312X589,312X591,312X594,312X597,312X630,312X631,312X633,312X639,312X640,312X645,312X670,312X672,312X690,312X691,312X692,312X693,312X694,312X695,312X696,312X697,312X698,312X699,312X700,312X711,312X712,312X713,312X714,312X717,312X728,312X729,312X730,312X732,312X752,312X754,312X762,312X776,312X778,TOOL
449,353,262,175,220,,426,187,242,,221,154,179,,1.41,0.82,8.48,0.85,,4010,4010,17.6,,34,33.8,33.7,,34.2,,,0,719,0,0,724,2,,714,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,2,5,5,5,,0,0,0,0,,1,499,4464,4890,5,8,11,10.9,11.3,2999,3005,5001,2995,4998,28,30,28,28,34,32,22,85,64,49,52,52,74,43,44,43,811,1022,392,724,5000,,5004,,4997,,51,63,58,56,63,19,73,71,74,,59,,2570,3013.4,3014.1,3013.7,3013.7,,3042,3042,3042,3040,,2892,110.4,110.1,109.3,,110.7,106.3,106.7,107.1,,89,67,,101.4,101.6,215
452,332,255,173,224,,387,186,304,,222,155,217,,1.41,0.82,8.5,0.88,,4010,4010,25,,33.1,34.5,35.1,,32.3,,,0,719,0,0,722,4,,714,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,2,5,,0,0,0,0,,0,461,2597,3033,5,8,11.1,10.8,11.9,2999,3006,5002,2994,4997,28,29,28,28,34,31,23,86,65,52,54,57,76,44,44,44,837,1047,414,732,5000,,5003,,4997,,52,64,57,56,63,19,72,70,71,,56,,2564,3012.9,3013.9,3014.2,3013,,3040,3042,3042,3040,,2877,110,110.1,110.1,,110,103.7,103.8,104,,90,67,,100.2,100.2,215
453,350,259,175,219,,429,185,254,,224,154,186,,1.42,0.84,8.75,0.88,,4010,4010,20.3,,34,34,33.9,,34,,,0,719,0,0,724,2,,714,-2,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,461,2615,3052,5,7,11.1,11,11.5,2999,3004,5002,2995,4998,28,29,28,28,34,33,22,85,65,50,53,53,74,44,45,43,819,1041,397,736,5000,,5003,,4998,,51,64,59,56,64,19,73,70,73,,59,,2570,3012,3013.8,3014.6,3014.7,,3040,3042,3040,3040,,2882,110,108.2,106.1,,110.3,106.7,107,107.3,,89,67,,101.9,101.9,215
454,351,261,175,219,,424,185,241,,222,154,179,,1.34,0.75,8.63,0.78,,4010,4010,13.6,,31.5,31.8,32.4,,31.9,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,479,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,496,3809,4236,5,8,10.9,10.8,11.3,2999,3004,5001,2996,4999,28,30,28,28,34,32,23,85,64,49,53,52,74,42,44,43,819,1029,393,726,5000,,5004,,4997,,51,63,58,56,63,19,73,71,74,,59,,2571,3012.4,3014.5,3014.9,3014.3,,3040,3042,3040,3042,,2902,104,100.9,99.9,,106.3,107.4,107.5,107.4,,89,66,,101.3,101.4,215
464,351,261,175,220,,424,187,252,,222,154,186,,1.36,0.74,8.8,0.83,,4010,4010,23.1,,32.1,33.7,34.6,,31.4,,,0,719,-1,-1,724,0,,714,-2,1126,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,5,2,,0,0,0,0,,0,499,3984,4411,5,8,11,10.9,11.5,2999,3004,5003,2995,4998,28,30,28,28,34,33,22,85,64,49,52,53,74,42,44,43,818,1026,393,726,5000,,5003,,4997,,51,63,58,56,63,19,73,70,73,,57,,2571,3012.6,3013.9,3015.1,3011.8,,3040,3042,3042,3042,,2917,110.3,111.4,111.3,,111.3,106,105.7,105.9,,90,67,,101,101,215
466,341,258,174,218,,392,185,258,,222,154,188,,1.36,0.75,8.88,0.83,,4010,4010,23.5,,31.3,33.1,34.1,,30.5,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,489,3379,3814,5,8,11.1,10.9,11.5,2999,3005,5002,2993,4998,28,29,28,28,34,33,22,85,65,50,53,55,74,45,45,43,821,1043,397,731,5000,,5003,,4997,,51,64,59,56,63,19,73,70,73,,56,,2572,3013.8,3013.2,3013.5,3013.8,,3042,3045,3042,3042,,2912,110.1,110.1,110,,110.3,106.2,106.4,106.8,,90,67,,101.2,101.3,215
469,331,257,173,226,,375,185,302,,219,154,218,,1.31,0.74,8.3,0.8,,4010,4010,25,,33.1,34.5,35.1,,32.3,,,0,719,0,0,722,2,,716,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,2,2,5,2,,0,0,0,0,,1,499,4573,4999,5,8,10.9,10.8,11.9,2999,3004,5002,2995,4997,28,29,28,28,34,32,23,86,65,51,53,56,74,42,44,44,827,1032,411,721,5000,,5003,,4998,,52,64,57,56,62,19,72,70,71,,56,,2567,3012.4,3013,3014.2,3013.3,,3040,3042,3042,3040,,2882,110,110.1,110.1,,110.1,103.7,103.8,104,,91,67,,100.2,100.3,215
471,350,260,175,219,,422,184,243,,221,153,181,,1.38,0.78,8.65,0.8,,4010,4010,13.7,,31.6,31.9,32.5,,32,,,0,719,0,0,724,0,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,140,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,5,2,,0,0,0,0,,1,496,3741,4168,5,7,11,10.9,11.4,2999,3005,5002,2995,4997,28,29,28,28,34,32,22,85,64,49,53,52,74,43,44,43,819,1030,394,727,5000,,5004,,4997,,51,63,58,56,63,19,73,71,74,,59,,2571,3012.4,3014.6,3013.9,3014,,3040,3042,3042,3042,,2907,100,99.3,100,,101.1,107.6,107.3,106.8,,89,66,,102,102,215
472,351,260,175,219,,427,185,246,,221,154,182,,1.37,0.78,8.53,0.85,,4010,4010,25.3,,33.9,34.9,35.2,,32.9,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,496,3619,4048,5,8,11,10.9,11.3,2999,3006,5002,2995,4998,28,30,28,28,34,32,22,85,64,49,53,52,74,43,45,43,816,1030,394,729,5000,,5003,,4997,,51,64,58,56,63,19,73,70,74,,58,,2570,3013.1,3014,3013.3,3015,,3040,3042,3042,3040,,2880,104.7,101.5,100.3,,107,107.3,107.4,107.4,,89,66,,101.7,101.8,215
477,352,262,175,220,,425,186,244,,219,155,182,,1.45,0.81,8.78,0.9,,4010,4010,19.2,,31.3,32.8,33.8,,31,,,0,719,0,0,722,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,479,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,499,4472,4898,5,7,11,10.9,11.3,2999,3004,5002,2996,4998,28,30,28,28,34,32,22,85,64,49,52,52,74,46,44,43,816,1022,391,724,5000,,5002,,4998,,51,63,58,56,63,19,73,70,74,,59,,2571,3012.8,3014.6,3013,3015,,3042,3042,3042,3037,,2890,110.6,110.3,110.1,,110.9,106.1,106.5,106.9,,89,66,,101.7,101.7,215
483,335,257,173,225,,395,185,296,,220,155,218,,1.36,0.76,8.28,0.85,,4010,4010,25,,33.1,34.5,35.1,,32.3,,,0,719,0,0,724,4,,714,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,505,4738,5166,5,7,11.1,10.8,12,2999,3004,5002,2996,4997,28,29,28,28,34,32,23,86,65,51,53,56,75,43,44,44,832,1029,408,723,5000,,5002,,4998,,52,63,57,56,62,19,73,70,71,,57,,2564,3011.6,3012.7,3013.6,3015.5,,3040,3042,3040,3042,,2880,110,110.1,110.2,,110.1,103.8,103.9,104.1,,90,67,,100.2,100.3,215
485,339,258,174,220,,404,185,270,,220,155,196,,1.36,0.78,8.55,0.8,,4010,4010,15.5,,33.3,33,32.8,,33.9,,,0,719,0,0,724,2,,716,-4,1125,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,2,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,505,4739,5167,5,8,11,10.8,11.7,2999,3004,5001,2996,4999,28,29,28,28,34,33,22,85,64,50,53,55,74,42,44,43,822,1026,394,723,5000,,5003,,4997,,51,63,58,56,63,19,73,70,72,,57,,2567,3012.9,3013.5,3013.9,3012.4,,3042,3042,3042,3040,,2907,110.1,110.1,110.1,,110.2,104.7,105,105.3,,89,67,,100.3,100.4,215
491,351,260,175,219,,422,186,251,,220,154,185,,1.36,0.77,8.4,0.83,,4010,4010,25.6,,33.8,35,35.4,,32.9,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,496,3665,4094,5,8,11,10.7,11.2,2999,3006,5001,2994,4999,28,30,28,28,34,33,22,85,64,50,53,53,74,44,44,43,815,1029,394,728,5000,,5003,,4997,,51,64,58,56,64,19,73,70,73,,56,,2570,3012.6,3014.8,3014.2,3014.5,,3042,3042,3040,3040,,2897,99.9,99.6,101.3,,100.9,107.6,107.1,106.5,,89,67,,101.5,101.6,215
492,350,260,175,219,,423,186,248,,224,154,183,,1.35,0.77,8.6,0.83,,4010,4010,25.5,,33.9,35,35.3,,32.8,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,489,3541,3976,5,8,11,10.9,11.4,2999,3006,5002,2995,4997,28,30,28,28,34,32,22,85,65,50,53,52,74,43,44,43,817,1031,394,730,5000,,5004,,4997,,51,64,58,56,63,19,73,70,74,,58,,2570,3012.5,3014.5,3014,3014.1,,3042,3045,3042,3042,,2890,104.9,101.6,100.4,,107.3,107.2,107.5,107.4,,90,67,,101.7,101.8,215
493,350,260,175,218,,425,186,239,,225,155,178,,1.35,0.79,8.48,0.83,,4010,4010,13.8,,32.6,32.4,32.5,,33.2,,,0,719,0,0,722,4,,716,-6,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,0,489,3549,3984,5,8,11,10.9,11.3,2999,3005,5001,2995,4997,28,30,28,28,34,32,23,85,65,49,53,52,74,43,44,43,819,1032,394,728,5000,,5003,,4997,,51,64,58,56,63,19,73,71,74,,59,,2570,3012.9,3013.7,3013,3014.4,,3040,3042,3042,3042,,2907,107.2,103.3,101.6,,109.3,107.1,107.4,107.5,,91,67,,101.7,101.9,215
494,350,260,175,219,,421,187,253,,222,155,186,,1.37,0.77,8.55,0.85,,4010,4010,25.5,,33.2,34.7,35.4,,32.2,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,489,3550,3985,5,8,11,11,11.5,3000,3006,5001,2995,4998,28,30,28,28,34,32,22,85,65,50,53,53,74,44,44,43,818,1031,395,730,5000,,5003,,4997,,51,64,58,56,63,19,73,70,73,,57,,2570,3012.2,3014.2,3013.7,3013.3,,3040,3042,3042,3040,,2920,101,106.8,109.6,,104,107,106.3,105.8,,89,67,,101.9,102,215
495,350,260,175,219,,423,187,242,,222,154,180,,1.42,0.79,8.85,0.85,,4010,4010,15.6,,31,32,32.9,,31,,,0,719,0,0,724,2,,714,-4,1126,140,1001,,1130,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,2,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,489,3552,3987,5,8,11,10.6,11.4,2999,3005,5002,2996,4998,28,30,28,28,34,32,23,85,65,49,53,52,74,45,44,43,822,1032,394,728,5000,,5002,,4997,,51,64,58,56,63,19,73,70,74,,58,,2570,3012.8,3014,3015,3014,,3042,3042,3042,3040,,2892,102.1,99.9,99.4,,104,107.5,107.5,107.2,,89,67,,101.4,101.1,215
2,352,261,175,219,,423,186,244,,223,154,182,,1.44,0.81,8.73,0.9,,4010,4010,16.1,,31.1,32.2,33.1,,31.1,,,0,719,-1,-1,722,0,,714,-2,1126,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,499,4100,4525,5,8,11,10.9,11.4,2999,3005,5002,2996,4998,28,30,28,28,34,32,23,85,64,49,52,52,74,43,44,43,818,1025,392,725,5000,,5003,,4997,,51,63,58,55,63,19,73,70,74,,58,,2571,3013.3,3014.5,3014.1,3014.1,,3040,3040,3042,3042,,2910,99.8,99.6,101.6,,100.6,107.5,107.1,106.6,,89,66,,101.2,101.2,215
6,343,258,174,218,,410,184,244,,221,154,181,,1.42,0.81,8.78,0.85,,4010,4010,14.4,,31,31.7,32.4,,31.2,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,505,4688,5115,5,8,11,10.9,11.4,2999,3005,5002,2995,4999,28,29,28,28,34,32,22,85,65,49,53,53,74,45,45,43,820,1032,394,724,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,56,,2571,3012.5,3013.6,3013.8,3014.2,,3042,3042,3042,3042,,2897,100.1,101.6,105.2,,100.9,107.2,106.8,106.2,,89,66,,100.9,101,215
11,345,260,175,219,,397,185,246,,221,154,179,,1.36,0.77,8.48,0.83,,4010,4010,23.1,,33.7,34.3,34.3,,33.2,,,0,719,-1,-1,724,2,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,499,4010,4437,5,8,11.1,10.8,11.4,2999,3005,5002,2994,4999,28,29,28,28,34,32,22,85,65,49,53,52,74,43,44,43,813,1032,394,725,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,57,,2572,3012.4,3014.1,3014.1,3015.1,,3042,3042,3040,3045,,2875,111.1,110.6,110.4,,111.5,105.7,106,106.5,,89,67,,101.5,101.6,215
17,352,261,175,219,,424,187,242,,222,155,180,,1.37,0.79,8.7,0.83,,4010,4010,20.4,,34,34.2,34.1,,34,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,0,499,4165,4590,5,8,11,10.9,11.4,2999,3006,5001,2994,4999,28,30,28,28,34,32,22,85,64,49,52,52,74,46,44,43,812,1024,392,725,5000,,5003,,4997,,51,63,58,55,63,19,73,70,74,,58,,2571,3013.2,3013.8,3014.6,3014.9,,3045,3042,3042,3042,,2892,110.4,110.1,109.3,,110.8,106.3,106.7,107.1,,89,67,,101.6,101.4,215
46,337,258,174,222,,393,187,284,,221,155,207,,1.32,0.71,8.73,0.78,,4010,4010,25.8,,30.8,32.7,33.7,,29.4,,,0,719,0,0,722,2,,716,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,519,4766,5192,5,8,11,10.8,11.8,2999,3004,5003,2995,4998,28,29,28,28,34,33,23,85,64,50,53,55,75,42,44,44,823,1025,394,722,5000,,5003,,4997,,52,63,58,56,63,19,73,70,72,,54,,2569,3012.2,3014,3012.9,3015.1,,3042,3042,3040,3040,,2900,110,110,110.1,,110.1,105.2,105.3,105.5,,90,67,,100.3,100.3,215
52,352,261,175,220,,424,186,251,,222,154,185,,1.37,0.76,8.68,0.83,,4010,4010,25.4,,33.1,34.6,35.3,,32.2,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,479,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,499,4255,4681,5,8,11,10.9,11.5,2999,3004,5002,2995,4998,28,30,28,28,34,33,23,85,64,49,52,53,74,43,44,43,814,1022,392,725,5000,,5003,,4997,,51,63,58,56,63,19,73,70,73,,58,,2570,3013.5,3014.5,3014,3012.3,,3045,3042,3042,3040,,2907,109.6,111.3,111.3,,111.6,106.1,105.7,105.8,,90,66,,102,101.8,215
55,350,261,175,219,,419,186,239,,222,155,179,,1.3,0.73,8.33,0.78,,4010,4010,16.6,,33.8,33.5,33.3,,34.2,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,526,4774,5199,5,8,11,11,11.4,2999,3006,5001,2994,4998,28,30,28,28,34,32,23,85,64,49,52,52,74,45,44,43,810,1021,391,722,5000,,5003,,4997,,51,63,58,55,63,19,73,70,74,,58,,2572,3013.5,3014.2,3014.2,3014.2,,3040,3045,3042,3042,,2915,107.9,104.2,102.2,,109.8,107,107.2,107.4,,90,67,,101.5,101.5,215
64,353,261,175,219,,427,186,243,,222,154,181,,1.36,0.76,8.63,0.8,,4010,4010,19.9,,34,34.1,34,,34.1,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,1,499,4372,4798,5,7,11,10.9,11.4,2999,3003,5001,2997,4998,28,30,28,28,34,32,22,85,64,49,52,52,74,45,44,43,812,1023,392,725,5000,,5002,,4998,,51,63,58,56,63,19,73,70,74,,59,,2570,3013,3014.1,3015,3013.7,,3042,3042,3042,3040,,2917,110.4,109.8,108.2,,110.6,106.4,106.9,107.2,,89,67,,102,101.8,215
68,351,260,175,219,,426,186,245,,221,153,182,,1.33,0.75,8.5,0.8,,4010,4010,24,,33.9,34.5,34.6,,33.2,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,496,3705,4131,5,8,11,10.9,11.4,2999,3006,5002,2995,4998,28,30,28,28,34,32,22,85,64,49,53,52,74,46,44,43,814,1028,394,727,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,58,,2570,3013,3013.6,3013.9,3013.6,,3042,3042,3042,3040,,2925,100.1,99.4,100.5,,101,107.6,107.2,106.7,,89,67,,101.9,102,215
80,331,257,173,224,,376,185,301,,218,155,217,,1.33,0.75,8.28,0.83,,4010,4010,24.9,,33.2,34.5,35.1,,32.3,,,0,719,0,0,722,2,,714,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,526,4782,5208,5,8,11,10.8,11.9,2999,3004,5002,2995,4997,28,29,28,28,34,32,23,85,65,51,53,56,74,41,45,44,825,1028,408,721,5000,,5003,,4998,,52,63,57,57,62,19,73,70,71,,57,,2566,3012.5,3013.8,3014.3,3012.7,,3040,3042,3040,3042,,2910,110,110.1,110.1,,110.1,104.1,104.2,104.3,,92,67,,100.4,100.4,215
81,344,259,175,220,,408,185,263,,220,155,192,,1.37,0.74,8.9,0.8,,4010,4010,23.7,,32.1,33.7,34.6,,31.4,,,0,719,0,0,722,2,,716,-6,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,526,4784,5209,5,8,10.9,10.9,11.5,2999,3005,5003,2996,4999,28,29,28,28,34,33,22,85,64,49,53,54,74,43,44,43,815,1024,391,723,5000,,5003,,4997,,51,63,58,56,63,19,73,70,73,,56,,2571,3012.4,3014.6,3013.7,3014.2,,3040,3042,3042,3042,,2892,110,110,110.1,,110.1,106.2,106.4,106.6,,89,66,,100.7,100.7,215
83,350,260,175,219,,420,185,245,,222,154,180,,1.35,0.76,8.48,0.8,,4010,4010,25.5,,33.8,35,35.4,,32.8,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,2,2,5,,0,0,0,0,,0,499,3936,4363,5,8,11,10.9,11.4,2999,3005,5001,2995,4998,28,30,28,28,34,32,23,85,64,49,52,52,74,44,44,43,815,1028,393,726,5000,,5003,,4998,,51,63,58,56,63,19,73,70,74,,58,,2570,3013.1,3014.1,3014.5,3013.2,,3042,3042,3040,3042,,2902,111,110.5,110.3,,111.2,105.8,106.2,106.6,,89,67,,101.7,101.3,215
84,351,261,175,219,,425,185,242,,222,154,180,,1.35,0.77,8.43,0.8,,4010,4010,21.4,,34,34.2,34.1,,33.7,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,499,3941,4368,5,8,11,10.9,11.4,3000,3004,5001,2996,4998,28,30,28,28,34,32,23,85,64,49,52,52,74,42,44,43,814,1027,393,725,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,58,,2570,3012.6,3014.2,3014.2,3016,,3040,3042,3040,3042,,2895,110,111.3,111.3,,111.2,106,105.6,105.8,,89,66,,101.7,101.8,215
85,345,260,175,219,,394,186,251,,223,154,183,,1.34,0.74,8.63,0.8,,4010,4010,25.8,,33,34.6,35.3,,31.6,,,0,719,0,0,722,0,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,374,-2,-2,0,2,2,2,2,,0,0,0,0,,0,499,4139,4564,5,8,11,10.8,11.4,2999,3006,5003,2994,4997,28,29,28,28,34,32,22,85,65,49,53,53,74,42,44,43,814,1031,394,726,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,57,,2572,3012.6,3013.9,3014.1,3014,,3040,3042,3042,3040,,2895,101.7,99.8,99.5,,103.4,107.4,107.3,107,,91,67,,101.4,101.6,215
89,352,261,175,220,,426,187,245,,221,155,182,,1.39,0.8,8.7,0.83,,4010,4010,24.1,,33.9,34.5,34.6,,33.1,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,479,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,1,499,4450,4876,5,7,11,11,11.4,2999,3004,5001,2996,4997,28,30,28,28,34,32,22,85,64,49,52,52,73,44,44,43,812,1021,392,724,5000,,5003,,4998,,51,63,58,56,63,19,73,71,74,,60,,2570,3013.8,3014.5,3014.4,3015.1,,3040,3040,3040,3040,,2900,111.2,110.6,110.4,,111.5,105.7,106.1,106.5,,89,66,,101.8,101.9,215
91,352,261,175,220,,422,187,247,,221,155,183,,1.34,0.75,8.5,0.8,,4010,4010,25.4,,33.9,34.9,35.2,,32.9,,,0,719,0,0,724,0,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,499,4411,4837,5,8,11,10.9,11.5,2999,3004,5002,2996,4996,28,29,28,28,34,32,23,85,64,49,52,52,74,44,44,43,812,1023,392,725,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,56,,2570,3013.1,3014.1,3014.2,3013.2,,3045,3042,3042,3040,,2877,99.6,100.2,102.7,,100.2,107.4,106.9,106.4,,90,67,,101.7,101.8,215
98,349,260,175,219,,420,186,244,,222,155,181,,1.36,0.77,8.65,0.83,,4010,4010,13.6,,31.9,32,32.3,,32.4,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,496,3843,4270,5,8,11,10.9,11.4,2999,3004,5002,2995,4998,28,29,28,28,34,32,22,85,64,49,53,52,74,44,44,43,817,1030,393,726,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,58,,2571,3013.1,3014.5,3014,3015,,3042,3042,3040,3042,,2905,100.6,99.4,100.3,,101.9,107.5,107.2,106.7,,89,67,,101.6,101.7,215
0,352,261,175,219,,426,187,245,,224,155,182,,1.33,0.75,8.4,0.8,,4010,4010,24.3,,33.9,34.5,34.6,,33.1,,,0,719,0,0,722,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,1,499,4294,4720,5,8,11,11,11.3,2999,3005,5002,2995,4997,28,30,28,28,34,32,22,85,64,49,52,52,74,46,44,43,812,1023,392,724,5000,,5003,,4997,,51,63,58,56,63,19,73,70,74,,57,,2571,3012.8,3014.2,3013.9,3014.5,,3042,3042,3042,3040,,2902,108.2,111.1,111.4,,110.5,106.2,105.7,105.7,,89,67,,102,101.9,215
