,ID,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),TOOL_ID (#3),Tool (#2),tool (#1),TOOL,TOOL (#1),TOOL (#2),Tool (#1),tool,Tool (#3)
378,ID561,N,B,E,D,E0,A,X,D,YX1,A,1113,4147,12
379,ID562,L,B,E,C,E0,A,S,D,YX1,A,329,3009,14
380,ID563,O,B,E,D,E0,A,W,D,YX1,A,1018,4106,13
381,ID565,O,B,E,D,E0,B,W,D,YX1,A,1018,4106,8
382,ID566,M,B,E,D,E0,A,W,B,YX1,A,215,3009,10
383,ID570,M,B,E,D,E0,B,S,C,YX1,A,329,4147,11
384,ID571,M,B,E,C,E0,A,W,D,YX1,A,1245,4147,11
385,ID572,N,B,E,D,E0,A,S,D,YX1,A,329,4147,11
386,ID575,O,A,E,C,E0,A,X,D,YX1,A,329,4147,14
387,ID578,O,A,E,C,E0,A,W,D,YX1,A,215,4106,15
388,ID579,O,B,E,D,E0,B,W,D,YX1,A,329,3009,9
389,ID580,O,A,E,D,E0,A,X,D,YX1,A,329,4106,11
390,ID581,M,B,N,D,N0,A,P,D,YX1,A,215,3009,14
391,ID582,L,B,E,D,E0,B,W,D,YX1,A,215,3009,6
392,ID583,L,B,N,D,N0,A,R,D,YX1,A,329,4147,13
393,ID584,M,A,E,D,E0,A,W,D,YX1,A,215,4147,13
394,ID585,L,B,E,C,E0,A,X,D,YX1,A,1245,3009,11
395,ID586,L,B,N,D,N0,A,P,D,YX1,A,329,4147,11
396,ID587,O,B,E,D,E0,A,W,B,YX1,A,2823,4106,14
397,ID590,N,B,E,D,E0,A,X,B,YX1,A,1245,3009,15
398,ID593,O,B,E,D,E0,A,W,B,YX1,A,2823,4147,15
399,ID599,J,B,E,D,E0,B,W,D,YX1,A,1110,4106,10
400,ID604,M,B,E,D,E0,B,X,C,YX1,A,1018,4147,6
401,ID605,L,B,E,D,E0,B,W,C,YX1,A,530,4106,8
402,ID606,M,B,E,D,E0,B,W,D,YX1,A,215,3009,9
403,ID607,O,B,E,D,E0,B,W,D,YX1,A,329,3009,10
404,ID608,M,B,E,D,E0,B,W,D,YX1,A,215,4106,10
405,ID609,O,B,E,D,E0,B,W,D,YX1,A,329,3009,6
406,ID610,M,B,E,D,E0,B,W,D,YX1,A,215,4106,6
407,ID611,O,B,E,D,E0,B,W,D,YX1,A,329,3009,7
408,ID612,L,B,E,D,E0,B,W,D,YX1,A,215,4106,7
409,ID613,O,B,E,D,E0,A,X,B,YX1,A,329,3009,10
410,ID614,M,B,E,D,E0,B,W,D,YX1,A,329,3009,8
411,ID615,N,B,E,D,E0,A,W,B,YX1,A,215,4147,10
412,ID616,O,B,E,D,E0,B,W,D,YX1,A,215,3009,8
413,ID617,O,B,E,D,E0,A,X,B,YX1,A,329,4147,7
414,ID618,N,B,E,D,E0,A,W,B,YX1,A,215,4106,7
415,ID619,L,B,E,D,E0,B,W,D,YX1,A,329,3009,9
416,ID620,M,B,E,D,E0,B,W,D,YX1,A,215,3009,9
417,ID621,O,B,E,D,E0,B,W,D,YX1,A,329,3009,10
418,ID622,L,B,E,D,E0,B,W,D,YX1,A,215,3009,10
419,ID623,O,B,E,D,E0,B,W,D,YX1,A,329,3009,6
420,ID624,M,B,E,D,E0,B,W,D,YX1,A,215,3009,6
421,ID625,L,B,E,D,E0,B,W,D,YX1,A,329,3009,7
422,ID626,O,B,E,D,E0,B,W,D,YX1,A,215,3009,7
423,ID627,M,B,E,D,E0,B,W,D,YX1,A,329,3009,8
424,ID628,L,B,E,D,E0,B,W,D,YX1,A,215,3009,8
425,ID629,K,B,N,C,N0,C,S,D,YX1,A,329,4147,6
426,ID630,L,A,E,D,E0,A,W,B,YX1,A,1113,4106,6
427,ID631,O,A,E,D,E0,A,X,B,YX1,A,1018,3009,6
428,ID632,N,A,E,D,E0,A,V,B,YX1,A,1113,4147,7
429,ID633,N,B,E,D,E0,B,W,D,YX1,A,1018,4147,9
430,ID634,O,B,E,D,E0,A,X,B,YX1,A,329,4147,11
431,ID635,M,B,E,D,E0,A,W,B,YX1,A,215,4106,11
432,ID636,L,B,E,D,E0,A,X,B,YX1,A,329,3009,12
433,ID637,L,B,E,D,E0,A,W,B,YX1,A,215,3009,12
434,ID638,O,B,E,D,E0,A,X,B,YX1,A,329,4106,13
435,ID639,M,B,E,D,E0,A,W,B,YX1,A,215,3009,13
436,ID640,M,B,N,D,N0,A,X,B,YX1,A,1018,4106,6
437,ID647,O,B,N,D,N0,A,V,D,YX1,A,329,4147,14
438,ID648,M,B,N,D,N0,A,W,B,YX1,A,1018,4106,8
439,ID650,L,A,E,D,E0,B,V,B,YX1,A,2823,3009,12
440,ID651,N,A,E,D,E0,B,W,B,YX1,A,1110,4106,11
441,ID652,L,A,E,D,E0,B,X,B,YX1,A,1245,4147,11
442,ID654,J,B,E,E,E0,B,T,D,YX1,A,1110,4106,11
443,ID655,J,B,E,E,E0,B,T,D,YX1,A,1245,3009,15
444,ID656,N,A,E,D,E0,B,V,B,YX1,A,329,4147,13
445,ID657,L,B,N,D,N0,B,W,B,YX1,A,1113,3009,7
446,ID658,M,B,N,D,N0,B,X,B,YX1,A,530,4147,7
447,ID659,L,B,N,D,N0,B,W,B,YX1,A,1113,4106,8
448,ID660,L,A,E,D,E0,A,X,B,YX1,A,329,4147,12
449,ID661,L,A,E,D,E0,A,W,B,YX1,A,215,3009,12
450,ID662,L,A,E,D,E0,A,X,B,YX1,A,329,4106,13
451,ID663,N,B,N,D,N0,B,X,D,YX1,A,1018,3009,6
452,ID664,N,B,N,E,N0,C,U,D,YX1,A,215,4106,8
453,ID665,L,B,N,E,N0,C,U,D,YX1,A,215,3009,6
454,ID666,O,B,N,C,N0,A,S,D,YX1,A,215,3009,12
455,ID667,M,B,N,D,N0,A,W,D,YX1,A,1113,3009,14
456,ID668,N,B,N,C,N0,A,S,D,YX1,A,329,4147,15
457,ID669,N,A,E,D,E0,A,V,B,YX1,A,2823,3009,10
458,ID670,N,B,E,D,E0,A,W,B,YX1,A,530,4106,15
459,ID671,J,B,E,E,E0,B,T,D,YX1,A,1245,3009,11
460,ID672,O,B,E,D,E0,A,W,D,YX1,A,1113,3009,13
461,ID673,L,A,E,D,E0,A,W,B,YX1,A,1110,4106,10
462,ID674,L,B,E,D,E0,A,W,D,YX1,A,1018,4147,14
463,ID675,N,A,E,D,E0,A,X,B,YX1,A,1245,4147,6
464,ID676,O,A,N,C,N0,A,X,D,YX1,A,215,3009,15
465,ID678,O,A,N,C,N0,A,X,D,YX1,A,329,3009,11
466,ID681,L,B,E,D,E0,B,X,C,YX1,A,215,4106,13
467,ID682,M,B,E,D,E0,B,W,C,YX1,A,329,4147,11
468,ID683,L,A,E,D,E0,A,X,B,YX1,A,329,4147,7
469,ID684,L,A,E,D,E0,A,W,B,YX1,A,215,3009,7
470,ID685,L,A,E,D,E0,A,V,B,YX1,A,329,4106,8
471,ID686,M,B,E,C,E0,A,S,D,YX1,A,215,4106,13
472,ID687,L,B,E,D,E0,B,W,C,YX1,A,215,3009,10
473,ID688,O,B,N,D,N0,B,W,B,YX1,B,1110,4106,12
474,ID689,O,B,E,D,E0,B,X,C,YX1,A,329,4106,7
475,ID690,N,B,N,D,N0,B,V,B,YX1,B,1245,4147,12
476,ID691,O,B,N,D,N0,B,X,B,YX1,B,2823,3009,13
477,ID692,L,A,E,D,E0,A,W,B,YX1,A,215,4106,15
478,ID693,O,A,E,D,E0,A,S,B,YX1,A,329,3009,8
479,ID694,O,A,E,D,E0,B,W,B,YX1,A,1245,4106,14
480,ID695,O,A,E,D,E0,B,W,B,YX1,A,1245,4106,15
481,ID696,O,A,E,D,E0,B,W,B,YX1,A,1245,4106,11
482,ID697,L,A,E,D,E0,A,W,B,YX1,A,329,3009,10
483,ID699,L,B,E,D,E0,A,X,D,YX1,A,215,4106,14
484,ID700,N,B,E,D,E0,A,W,D,YX1,A,329,4147,14
485,ID701,O,B,E,D,E0,A,X,D,YX1,A,215,3009,15
486,ID702,M,B,E,C,E0,A,T,D,YX1,A,329,3009,11
487,ID703,O,B,E,C,E0,A,W,D,YX1,A,1113,3009,13
488,ID704,K,B,E,C,E0,A,X,D,YX1,A,329,3009,11
489,ID705,O,B,E,D,E0,B,V,D,YX1,A,329,4106,6
490,ID706,L,A,E,D,E0,A,V,B,YX1,A,2823,4106,9
491,ID707,M,B,E,D,E0,B,W,D,YX1,A,215,4147,9
492,ID708,M,B,E,D,E0,A,W,D,YX1,A,215,4147,15
493,ID709,M,B,E,D,E0,A,W,D,YX1,A,215,4147,15
494,ID710,M,B,E,D,E0,A,W,D,YX1,A,215,4147,11
495,ID711,M,B,E,D,E0,A,W,D,YX1,A,215,4147,12
496,ID712,O,A,N,D,N0,B,V,D,YX1,B,530,3009,6
497,ID713,O,A,N,D,N0,B,X,D,YX1,B,1113,4106,6
498,ID714,J,B,E,D,E0,C,X,D,YX1,A,2823,3009,15
499,ID715,O,A,N,D,N0,B,V,D,YX1,B,530,4147,7
0,ID716,J,B,E,D,E0,C,X,D,YX1,A,2823,3009,14
1,ID717,J,B,E,D,E0,C,X,D,YX1,A,2823,4147,13
2,ID719,O,B,E,D,E0,A,W,D,YX1,A,215,4147,9
3,ID720,O,B,E,D,E0,A,W,D,YX1,A,329,4106,8
4,ID721,O,A,E,D,E0,A,X,B,YX1,A,329,4106,10
5,ID722,M,A,E,D,E0,B,V,D,YX1,A,1110,4147,11
6,ID723,N,A,E,D,E0,A,V,B,YX1,A,215,4147,6
7,ID724,L,B,E,D,E0,A,W,D,YX1,A,530,4147,15
8,ID725,L,B,E,D,E0,A,V,D,YX1,A,1113,3009,15
9,ID727,N,B,E,D,E0,A,X,D,YX1,A,530,4106,11
10,ID728,N,B,E,D,E0,A,X,D,YX1,A,1113,4106,11
11,ID729,L,B,E,C,E0,A,X,D,YX1,A,215,4147,11
12,ID730,L,A,E,D,E0,B,W,D,YX1,A,1245,3009,11
13,ID731,N,A,E,D,E0,B,X,D,YX1,A,2823,4106,12
14,ID732,L,B,E,C,E0,A,W,D,YX1,A,329,3009,14
15,ID733,O,A,E,D,E0,B,Q,D,YX1,B,1245,4106,9
16,ID734,O,A,E,D,E0,B,R,D,YX1,B,1245,4147,9
17,ID735,O,B,E,D,E0,A,W,D,YX1,A,215,3009,9
18,ID736,O,A,E,D,E0,B,P,D,YX1,B,2823,3009,10
19,ID737,O,A,E,D,E0,B,R,D,YX1,B,1245,4147,10
20,ID738,N,B,E,D,E0,A,X,D,YX1,A,329,4147,8
21,ID739,O,A,E,D,E0,B,P,D,YX1,B,2823,3009,6
22,ID740,O,A,E,D,E0,B,Q,D,YX1,B,1110,4106,6
23,ID741,O,A,N,D,N0,A,V,D,YX1,B,2823,3009,10
24,ID742,O,A,E,D,E0,B,P,D,YX1,B,2823,3009,10
25,ID743,N,A,N,D,N0,A,X,D,YX1,B,1110,4106,10
26,ID744,O,A,E,D,E0,B,Q,D,YX1,B,1110,4106,6
27,ID745,O,A,E,D,E0,B,R,D,YX1,B,1245,4147,6
28,ID746,O,A,N,D,N0,A,W,D,YX1,B,1245,4147,6
29,ID747,L,A,N,D,N0,B,V,D,YX1,B,1113,4147,9
30,ID749,L,A,N,D,N0,B,W,D,YX1,B,530,3009,10
31,ID751,L,A,N,D,N0,B,V,D,YX1,B,1113,4106,10
32,ID752,L,A,E,D,E0,A,W,D,YX1,A,2823,4147,12
33,ID753,L,A,E,D,E0,A,X,D,YX1,A,1110,4106,13
34,ID757,N,B,E,C,E0,A,W,D,YX1,A,1245,4147,9
35,ID759,N,B,E,C,E0,A,X,D,YX1,A,1110,3009,6
36,ID760,N,A,N,D,N0,B,W,B,XY1,B,1113,4106,9
37,ID761,N,A,E,D,E0,B,W,B,YX1,A,2823,4106,6
38,ID762,N,A,N,D,N0,B,V,B,XY1,B,530,4147,10
39,ID763,N,A,N,D,N0,B,X,B,XY1,B,1113,3009,10
40,ID764,O,A,E,D,E0,B,V,B,YX1,A,1110,3009,6
41,ID765,N,A,N,D,N0,B,W,B,XY1,B,1113,4106,6
42,ID766,N,A,E,D,E0,B,X,B,YX1,A,1245,4147,7
43,ID768,N,A,N,D,N0,B,W,D,YX1,B,1245,4147,14
44,ID769,L,A,E,D,E0,B,R,D,YX1,B,206,4106,11
45,ID770,N,A,N,D,N0,B,W,D,YX1,B,1110,4147,12
46,ID771,L,A,E,D,E0,B,R,D,YX1,B,215,4147,11
47,ID772,N,A,N,D,N0,B,W,D,YX1,B,2823,4106,11
48,ID773,L,A,E,D,E0,B,P,D,YX1,B,329,3009,11
49,ID774,N,A,N,D,N0,B,W,D,YX1,B,2823,4106,14
50,ID776,L,A,E,D,E0,B,Q,D,YX1,B,206,4106,15
51,ID777,O,A,N,D,N0,B,V,D,YX1,B,1245,3009,11
52,ID778,O,A,E,D,E0,A,W,D,YX1,A,215,3009,15
53,ID779,L,A,E,D,E0,B,Q,D,YX1,B,329,3009,13
54,ID781,L,A,E,D,E0,B,R,D,YX1,B,206,4106,14
55,ID783,L,A,E,D,E0,B,P,D,YX1,B,215,4147,14
56,ID785,L,B,E,D,E0,A,X,B,YX1,B,1113,4147,9
57,ID786,M,A,E,D,E0,A,X,D,YX1,A,1110,3009,13
58,ID787,L,A,E,D,E0,A,W,D,YX1,A,2823,4147,14
59,ID788,M,A,E,D,E0,A,X,D,YX1,A,1110,3009,14
60,ID790,N,B,E,D,E0,A,X,B,YX1,A,1245,3009,13
61,ID792,O,A,E,D,E0,B,X,B,YX1,A,1245,4147,8
62,ID793,O,A,E,D,E0,B,W,B,YX1,A,1245,4106,6
63,ID797,M,B,E,D,E0,B,X,B,YX1,A,329,4147,8
64,ID798,L,B,E,D,E0,B,W,B,YX1,A,215,4106,6
65,ID801,M,B,E,C,E0,B,X,D,YX1,A,1110,4147,14
66,ID802,M,B,E,C,E0,B,W,D,YX1,A,2823,4147,12
67,ID803,O,B,E,C,E0,A,X,D,YX1,A,329,4147,12
68,ID804,N,B,E,C,E0,A,W,D,YX1,A,215,3009,11
69,ID806,O,B,E,C,E0,A,W,D,YX1,A,1113,3009,14
70,ID807,O,A,E,C,E0,A,W,D,YX1,A,329,3009,6
71,ID811,O,A,N,D,N0,A,V,B,YX1,B,530,4106,9
72,ID812,O,A,N,D,N0,A,V,B,YX1,B,530,3009,10
73,ID813,N,A,N,D,N0,A,V,B,YX1,B,530,4106,6
74,ID816,M,A,E,D,E0,A,W,B,YX1,A,1113,3009,15
75,ID817,L,A,E,D,E0,A,X,B,YX1,A,530,4106,13
76,ID818,N,A,E,D,E0,A,U,D,YX1,A,1245,3009,12
77,ID819,O,A,E,D,E0,A,S,D,YX1,A,2823,4106,13
78,ID820,O,A,N,D,N0,A,W,B,YX1,B,1113,4147,10
79,ID821,L,B,E,D,E0,A,X,B,YX1,A,329,4147,10
80,ID822,M,B,E,D,E0,A,W,B,YX1,A,215,3009,10
81,ID823,M,B,E,D,E0,A,W,B,YX1,A,215,4106,7
82,ID824,L,B,E,D,E0,A,X,B,YX1,A,329,4147,8
83,ID825,M,B,E,C,E0,A,X,D,YX1,A,215,4147,8
84,ID826,M,B,E,C,E0,A,X,D,YX1,A,215,3009,8
85,ID833,O,B,E,D,E0,A,W,D,YX1,A,215,4147,12
86,ID834,O,B,E,D,E0,A,X,D,YX1,A,329,3009,11
87,ID835,O,A,E,D,E0,A,X,B,YX1,A,1018,3009,8
88,ID838,L,A,E,D,E0,A,W,D,YX1,A,329,4147,8
89,ID839,N,A,E,D,E0,A,W,D,YX1,A,215,3009,10
90,ID841,N,A,E,D,E0,A,X,D,YX1,A,329,3009,6
91,ID844,O,A,E,D,E0,A,V,D,YX1,A,215,4147,6
92,ID848,O,A,E,D,E0,A,V,D,XY1,B,530,4147,1
93,ID849,N,A,E,D,E0,A,X,B,YX1,A,1245,3009,14
94,ID850,L,A,E,D,E0,A,V,B,YX1,A,2823,4147,15
95,ID851,O,A,E,D,E0,A,W,B,YX1,A,1110,3009,15
96,ID852,O,B,N,D,N0,B,X,D,YX1,A,329,3009,15
97,ID853,N,A,E,D,E0,A,V,B,YX1,A,2823,3009,15
98,ID854,K,B,E,C,E0,A,W,D,YX1,A,215,3009,7
99,ID855,L,A,E,D,E0,A,W,B,YX1,A,1110,4147,11
0,ID856,N,B,N,D,N0,B,W,D,YX1,A,215,4147,14
1,ID857,O,A,E,D,E0,A,X,B,YX1,A,1245,3009,11
2,ID858,O,B,N,D,N0,A,W,D,YX1,A,329,3009,13
3,ID859,M,A,E,D,E0,B,X,D,YX1,A,329,4147,12
4,ID860,N,B,N,D,N0,A,W,D,YX1,A,215,4106,11
5,ID861,M,A,E,D,E0,B,W,D,YX1,A,215,4106,13
6,ID862,L,A,E,D,E0,A,W,D,YX1,B,2823,4147,15
7,ID863,L,A,E,D,E0,A,V,D,YX1,B,1110,3009,11
8,ID864,N,B,E,D,E0,A,X,D,YX1,A,1113,4147,15
9,ID865,L,A,E,D,E0,A,W,D,YX1,B,1245,4106,11
10,ID867,O,A,E,D,E0,A,X,B,YX1,A,329,4147,9
11,ID869,O,A,E,D,E0,A,V,B,YX1,A,215,3009,8
12,ID870,O,B,E,D,E0,A,X,B,YX1,A,530,4106,13
13,ID871,L,B,E,D,E0,A,W,D,YX1,A,1018,4147,11
14,ID872,O,A,E,D,E0,B,W,B,YX1,A,329,4106,11
15,ID873,M,B,N,D,N0,B,W,B,YX1,A,530,4147,9
16,ID874,N,A,E,D,E0,B,X,B,YX1,A,329,4106,12
17,ID875,N,A,E,D,E0,B,W,D,YX1,B,2823,3009,10
18,ID876,O,A,E,D,E0,B,V,D,YX1,B,1110,4106,6
19,ID877,N,A,E,D,E0,B,W,D,YX1,B,1245,3009,6
20,ID878,O,B,N,D,N0,A,W,D,YX1,A,329,4106,13
21,ID879,N,B,N,D,N0,A,X,D,YX1,A,215,4147,14
22,ID880,L,A,E,D,E0,B,W,B,YX1,A,1113,4147,6
23,ID881,L,A,E,D,E0,B,V,B,YX1,A,530,4147,8
24,ID882,O,A,E,D,E0,B,X,D,YX1,A,329,4147,11
25,ID883,O,A,E,D,E0,B,W,B,YX1,A,1245,3009,13
26,ID884,L,A,E,D,E0,B,X,B,YX1,A,2823,4106,15
27,ID885,N,A,E,D,E0,B,X,B,YX1,A,1245,4106,9
28,ID886,O,A,E,D,E0,B,V,B,YX1,A,2823,4147,6
29,ID887,J,A,E,D,E0,B,V,D,YX1,B,215,4147,8
30,ID888,J,A,E,D,E0,B,V,D,YX1,B,329,3009,8
31,ID889,J,A,E,D,E0,B,V,D,YX1,B,215,4106,9
32,ID890,J,A,E,D,E0,B,V,D,YX1,B,329,4147,9
33,ID891,J,A,E,D,E0,B,V,D,YX1,B,215,3009,9
34,ID892,J,A,E,D,E0,B,V,D,YX1,B,329,4106,10
35,ID893,L,B,E,D,E0,A,S,D,YX1,A,1245,4147,8
36,ID894,L,B,E,D,E0,A,S,D,YX1,A,1110,4106,6
37,ID895,L,A,N,D,N0,A,V,D,YX1,B,2823,4106,14
38,ID896,L,A,N,D,N0,A,W,D,YX1,B,2823,4106,14
39,ID897,N,B,N,D,N0,A,W,D,YX1,A,215,4106,12
40,ID900,N,A,E,D,E0,B,W,D,YX1,B,1245,3009,6
41,ID901,O,A,E,D,E0,B,V,D,YX1,B,1245,3009,9
42,ID902,O,A,E,D,E0,B,V,D,YX1,B,2823,4106,7
43,ID903,N,B,N,C,N0,A,W,D,YX1,A,215,4147,12
44,ID904,L,A,N,D,N0,B,V,D,YX1,B,215,3009,9
45,ID905,L,A,N,D,N0,B,V,D,YX1,B,329,4106,10
46,ID906,L,A,N,D,N0,B,V,D,YX1,B,215,4147,10
47,ID907,J,A,E,D,E0,B,V,D,YX1,B,215,3009,6
48,ID908,J,A,E,D,E0,B,V,D,YX1,B,329,4106,7
49,ID909,J,A,E,D,E0,B,V,D,YX1,B,215,4147,7
50,ID910,J,A,E,D,E0,B,V,D,YX1,B,329,4106,6
51,ID911,J,A,E,D,E0,B,V,D,YX1,B,215,4147,6
52,ID912,L,A,E,D,E0,A,W,B,YX1,A,215,3009,9
53,ID915,L,A,E,D,E0,A,V,B,YX1,A,2823,3009,11
54,ID916,L,A,E,D,E0,A,W,B,YX1,A,1110,3009,11
55,ID917,O,A,E,D,E0,B,V,B,YX1,A,215,4147,15
56,ID918,L,A,E,D,E0,B,X,B,YX1,A,329,4106,12
57,ID919,N,B,N,D,N0,B,V,B,YX1,B,1245,4147,14
58,ID920,N,A,E,D,E0,A,W,B,YX1,A,329,4147,7
59,ID923,M,B,E,D,E0,A,X,D,YX1,A,329,4106,10
60,ID924,O,B,N,C,N0,C,S,D,YX1,A,1245,4106,12
61,ID925,L,B,E,D,E0,A,X,D,YX1,A,215,3009,9
62,ID926,N,B,N,C,N0,C,S,D,YX1,A,1110,4147,11
63,ID927,N,A,E,D,E0,B,S,D,YX1,B,329,4106,9
64,ID928,O,A,E,D,E0,B,T,D,YX1,B,215,4147,9
65,ID929,N,A,E,D,E0,B,S,D,YX1,B,329,3009,10
66,ID930,N,A,E,D,E0,B,V,D,YX1,A,329,4106,13
67,ID932,O,A,E,D,E0,B,W,D,YX1,A,215,4147,15
68,ID934,N,A,E,D,E0,A,S,D,YX1,B,215,4147,7
69,ID936,M,B,E,D,E0,A,X,B,YX1,A,329,4106,10
70,ID938,L,A,E,D,E0,A,W,B,YX1,A,530,3009,9
71,ID939,O,B,E,D,E0,A,W,B,YX1,A,215,3009,7
72,ID940,O,A,E,D,E0,B,T,D,YX1,B,215,4106,8
73,ID941,L,A,E,D,E0,A,V,B,YX1,A,1113,4106,8
74,ID942,N,A,E,D,E0,B,U,D,YX1,B,329,4147,8
75,ID943,O,A,E,D,E0,B,S,D,YX1,B,215,3009,9
76,ID944,J,B,E,E,E0,B,X,D,YX1,A,1018,4106,12
77,ID945,L,A,E,D,E0,B,T,B,YX1,A,1110,4147,6
78,ID946,L,A,E,D,E0,B,U,B,YX1,A,1245,3009,6
79,ID947,O,A,E,D,E0,B,V,B,YX1,A,1110,4147,11
80,ID948,N,A,E,D,E0,B,U,D,YX1,B,1110,4106,11
81,ID949,N,A,E,D,E0,B,W,B,YX1,A,1245,3009,13
82,ID950,N,A,E,D,E0,B,U,D,YX1,B,1245,4147,12
83,ID951,O,A,E,D,E0,A,T,C,YX1,B,2823,4147,8
84,ID952,N,A,E,D,E0,A,U,C,YX1,B,1110,3009,9
85,ID953,N,A,E,D,E0,A,W,B,YX1,A,1110,4147,7
86,ID954,O,A,E,D,E0,A,T,C,YX1,B,1245,4106,9
87,ID955,L,B,E,D,E0,A,X,B,YX1,B,530,4147,9
88,ID956,N,A,E,D,E0,A,U,C,YX1,B,1245,4106,6
89,ID957,L,B,E,D,E0,A,W,B,YX1,B,1113,3009,7
90,ID958,O,A,E,D,E0,A,S,C,YX1,B,2823,4147,6
91,ID959,N,A,E,D,E0,A,V,D,YX1,A,1113,4147,12
92,ID960,N,A,E,D,E0,A,T,C,YX1,B,1110,3009,7
93,ID961,N,A,E,D,E0,A,W,D,YX1,A,1018,4106,14
94,ID962,O,A,N,D,N0,A,X,B,YX1,B,530,3009,8
95,ID963,N,A,N,D,N0,A,W,B,YX1,B,1113,4147,6
96,ID964,N,A,E,D,E0,A,T,B,YX1,A,215,4106,6
97,ID965,O,A,N,D,N0,B,V,B,YX1,B,2823,4106,14
98,ID966,N,A,N,D,N0,B,W,B,YX1,B,1110,4147,11
99,ID967,L,B,E,D,E0,B,S,C,YX1,A,215,4106,11
100,ID968,L,B,E,D,E0,B,S,C,YX1,A,329,4147,13
101,ID969,N,B,E,D,E0,A,V,D,YX1,A,530,3009,14
102,ID970,N,A,E,D,E0,B,W,D,XY1,B,1110,4106,6
103,ID972,O,A,E,D,E0,B,V,D,XY1,B,1245,4147,9
104,ID973,N,A,E,D,E0,A,W,B,YX1,A,215,3009,7
105,ID975,L,A,E,D,E0,A,V,B,YX1,A,215,3009,14
106,ID977,N,A,E,D,E0,B,X,B,YX1,A,2823,4147,11
107,ID978,M,B,E,D,E0,A,X,B,YX1,A,329,3009,7
108,ID979,O,B,E,D,E0,A,X,B,YX1,A,329,4106,6
109,ID982,O,A,E,C,E0,A,W,D,YX1,A,1113,4106,10
110,ID984,O,A,E,C,E0,A,V,B,YX1,A,530,4106,14
111,ID986,N,A,E,D,E0,A,W,D,XY1,B,1018,4106,1
112,ID988,N,A,E,D,E0,A,W,D,XY1,B,1018,3009,2
113,ID989,N,A,E,D,E0,A,W,D,XY1,B,1113,4147,3
114,ID990,N,A,E,D,E0,A,W,D,XY1,B,530,4106,4
115,ID991,N,A,E,D,E0,A,W,D,XY1,B,1018,3009,5
116,ID992,O,A,E,D,E0,B,U,C,YX1,B,1110,3009,9
117,ID993,N,A,E,D,E0,B,T,C,YX1,B,1245,4106,10
118,ID994,L,A,N,D,N0,B,W,D,YX1,B,530,4106,9
119,ID995,O,A,E,D,E0,B,S,C,YX1,B,1110,3009,10
120,ID997,N,A,E,D,E0,A,X,B,YX1,A,215,4106,7
